car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,2502,5.629672428224945,0.7000000000000001
0,2503,5.629672428224945,0.7000000000000001
0,2504,5.629672428224945,0.7000000000000001
0,2505,5.629672428224945,0.7000000000000001
0,2506,5.629672428224945,0.7000000000000001
0,2507,5.629672428224945,0.7000000000000001
0,1,6.75,3.5
0,2508,5.629672428224945,0.7000000000000001
0,2,6.75,3.5
0,2509,5.629672428224945,0.7000000000000001
0,3,6.75,3.5
0,2510,5.629672428224945,0.7000000000000001
0,4,6.75,3.5
0,2511,5.629672428224945,0.7000000000000001
0,5,6.75,3.5
0,2512,5.629672428224945,0.7000000000000001
0,6,6.75,3.5
0,2513,5.629672428224945,0.7000000000000001
0,7,6.75,3.5
0,2514,5.629672428224945,0.7000000000000001
0,8,6.75,3.5
0,2515,5.629672428224945,0.7000000000000001
0,9,6.75,3.5
0,2516,5.629672428224945,0.7000000000000001
0,10,6.75,3.5
0,2517,5.629672428224945,0.7000000000000001
0,11,6.75,3.5
0,2518,5.629672428224945,0.7000000000000001
0,12,6.75,3.5
0,2519,5.629672428224945,0.7000000000000001
0,13,6.75,3.5
0,2520,5.629672428224945,0.7000000000000001
0,14,6.75,3.5
0,2521,5.629672428224945,0.7000000000000001
0,15,6.75,3.5
0,2522,5.629672428224945,0.7000000000000001
0,16,6.75,3.5
0,2523,5.629672428224945,0.7000000000000001
0,17,6.75,3.5
0,2524,5.629672428224945,0.7000000000000001
0,18,6.75,3.5
0,2525,5.629672428224945,0.7000000000000001
0,19,6.75,3.5
0,2526,5.629672428224945,0.7000000000000001
0,20,6.75,3.5
0,2527,5.629672428224945,0.7000000000000001
0,21,6.75,3.5
0,2528,5.629672428224945,0.7000000000000001
0,22,6.75,3.5
0,2529,5.629672428224945,0.7000000000000001
0,23,6.75,3.5
0,2530,5.629672428224945,0.7000000000000001
0,24,6.75,3.5
0,2531,5.629672428224945,0.7000000000000001
0,25,6.75,3.5
0,2532,5.629672428224945,0.7000000000000001
0,26,6.75,3.5
0,2533,5.629672428224945,0.7000000000000001
0,27,6.75,3.5
0,2534,5.629672428224945,0.7000000000000001
0,28,6.75,3.5
0,2535,5.629672428224945,0.7000000000000001
0,29,6.75,3.5
0,2536,5.629672428224945,0.7000000000000001
0,30,6.75,3.5
0,2537,5.629672428224945,0.7000000000000001
0,31,6.75,3.5
0,2538,5.629672428224945,0.7000000000000001
0,32,6.75,3.5
0,2539,5.629672428224945,0.7000000000000001
0,33,6.75,3.5
0,2540,5.629672428224945,0.7000000000000001
0,34,6.75,3.5
0,2541,5.629672428224945,0.7000000000000001
0,35,6.75,3.5
0,2542,5.629672428224945,0.7000000000000001
0,36,6.75,3.5
0,2543,5.629672428224945,0.7000000000000001
0,37,6.75,3.5
0,2544,5.629672428224945,0.7000000000000001
0,38,6.75,3.5
0,2545,5.629672428224945,0.7000000000000001
0,39,6.75,3.5
0,2546,5.629672428224945,0.7000000000000001
0,40,6.75,3.5
0,2547,5.629672428224945,0.7000000000000001
0,41,6.75,3.5
0,2548,5.629672428224945,0.7000000000000001
1,0,6,0
1,2502,5.3611965044914545,1.1216796016527586
1,2503,5.3611965044914545,1.1216796016527586
1,2504,5.3611965044914545,1.1216796016527586
1,2505,5.3611965044914545,1.1216796016527586
1,2506,5.3611965044914545,1.1216796016527586
1,2507,5.3611965044914545,1.1216796016527586
1,1,6.75,3.5
1,2508,5.3611965044914545,1.1216796016527586
1,2,6.75,3.5
1,2509,5.3611965044914545,1.1216796016527586
1,3,6.75,3.5
