car,time(s),distance(m),velocity(m/s)
1,12,5.325959548219203,7.506773906286477
1,13,5.347780750496691,7.957523694820922
1,14,5.3711679636089,8.407152674729137
1,15,5.392872128331919,8.855966312660748
1,16,5.416210466682491,9.304652010060417
1,17,5.4394261433631526,9.785271212898019
1,18,5.4627629775822015,10.075153390201468
1,19,5.484457570582071,9.929561381089027
1,20,5.498330977922774,9.502000950857418
1,21,5.493346437336686,7.236260689446771
1,22,5.467531134325236,4.835580491401976
1,23,5.366894329141905,3.046450748212578
1,24,5.266257523958575,1.4366233972573528
1,25,5.174194327822898,1.1919616493134357
1,26,5.089780210169943,1.7625176050983256
1,27,5.076073240709798,2.4342558356748856
1,28,5.090539112751344,3.2113599115638287
1,29,5.119067414563688,3.925765863842183
1,30,5.154272479837528,4.607809836255935
1,31,5.191206206605898,5.278890278593982
1,32,5.224141440561584,5.912846375266283
1,33,5.2590751342490645,6.539134851389388
1,34,5.289542564171256,7.133522035111949
1,35,5.324374154986254,7.760657193886072
1,36,5.352842536712387,8.322138676763474
1,37,5.383344374276089,8.912384041466328
1,38,5.412463589828212,9.447752574761113
1,39,5.43929417623217,9.971520562509061
1,40,5.467227687606351,9.933442574482145
1,41,5.492742573448231,8.976728863366029
2,0,6,0
2,1,5.675,2
2,2,5.325,2
2,3,5.10333333333333,2.017191298346672
2,4,5.10333333333333,2.05935864953022
2,5,5.104151937958136,2.3648010507150246
2,6,5.105368468105462,3.2265303577371833
2,7,5.122288908211817,4.08790213168193
2,8,5.162307289518935,4.671595605006938
2,9,5.199578865296803,5.1634327827581465
2,10,5.228605581980605,5.6612090796278665
2,11,5.257048526421817,6.1201863687682305
2,12,5.2790337573356965,6.574475263139141
2,13,5.3010189882495755,7.027205761346897
2,14,5.324490860931974,7.47794922582168
2,15,5.346256703917925,7.927221930371003
2,16,5.369634206741398,8.375910122708142
2,17,5.392874134789326,8.855814893956984
2,18,5.41620648155606,9.298414721206246
2,19,5.4378732690558085,9.72663860663622
2,20,5.460886511126523,10.07966225929932
2,21,5.483193642953301,9.87375026733675
2,22,5.499204336496359,9.505617391710697
2,23,5.490523858030929,7.511697087532657
2,24,5.481843379565499,5.0543712966697205
2,25,5.3777736159808684,3.166254109699212
2,26,5.2746036842146395,1.640034250312792
2,27,5.181225261295799,1.0606751443170588
2,28,5.094713116150524,1.711354402962285
2,29,5.071205240311906,2.428017337076324
2,30,5.088744554815025,3.1630229463932342
2,31,5.1156104667823,3.8905767928040325
2,32,5.151700204418603,4.571481590190002
2,33,5.189836929639045,5.242803837220348
2,34,5.22256465619148,5.876171794182071
2,35,5.259960782552912,6.543238060872785
2,36,5.29016083724805,7.137342223655299
2,37,5.322518038707107,7.760328723053852
2,38,5.353227894971314,8.322801585800827
2,39,5.381489133767673,8.871077915931266
2,40,5.410775210833935,9.39039734925361
2,41,5.437453091916359,9.864078892174769
3,0,6,0
3,1,5.675,2
3,2,5.325,2
3,3,5.10333333333333,2.0050900094339057
3,4,5.10333333333333,2.0175749428577148
3,5,5.10339305486624,2.0470399961425594
3,6,5.103433605871146,2.112836963387177
3,7,5.1045559895152905,2.3076799633886247
3,8,5.107191152440237,3.198809154883743
3,9,5.12015160458692,4.102364062024079
3,10,5.161030615641641,4.700275916510569
3,11,5.20044373029674,5.180248645126968
3,12,5.227097134513576,5.640108956712378
3,13,5.253750538730401,6.0942995430597735
3,14,5.277883523094363,6.546405357078882
3,15,5.299624351830983,6.997189730743852
3,16,5.323017123742295,7.446933942318184
3,17,5.346288432147583,7.927145660127729
3,18,5.369643809216564,8.37482024492128
3,19,5.391323967271342,8.82145739847216
3,20,5.414640780916637,9.263375744405229
3,21,5.437823671323554,9.700336151740823
3,22,5.460712618536206,10.074845678143658
3,23,5.48052543362395,9.85965170806657
3,24,5.500338248711694,9.475939800937033
3,25,5.489005033143269,7.787388188775134
3,26,5.476245018713416,5.31952596921736
3,27,5.389447596740615,3.2643776646569664
3,28,5.276462552330702,1.711317100442777
3,29,5.181403782666666,0.9656116272784727
3,30,5.104545560373765,1.5934812420617184
3,31,5.064190188792201,2.368279359098093
3,32,5.085685983351209,3.11529658607808
3,33,5.112139772261651,3.854017935278657
3,34,5.148969597565883,4.537170055155435
3,35,5.1909413777226066,5.252119274564009
3,36,5.223412076949819,5.884906042057134
