car,time(s),distance(m),velocity(m/s)
0,0,6,0.0
0,1,5.104333333333329,2.466666666666665
0,2,5.119499999999993,2.93333333333333
0,3,5.147833333333324,3.4333333333333282
0,4,5.1855555555555615,3.8999999999999932
0,5,5.2341666666666695,4.366666666666658
0,6,5.298333333333335,4.8666666666666565
0,7,5.369499999999993,5.3333333333333215
0,8,5.445333333333338,5.766666666666653
0,9,5.5375,6.233333333333318
0,10,5.640555555555556,6.699999999999983
0,11,5.6279346316074,7.1999999999999815
0,12,5.6080309015435885,7.6666666666666465
0,13,5.598788809808548,8.166666666666645
0,14,5.601440635300287,8.63333333333331
0,15,5.614981349680898,9.099999999999975
0,16,5.641572591279191,9.599999999999973
0,17,5.662952571034339,9.066666666666642
0,18,5.641325768543174,7.066666666666642
0,19,5.576029641773653,5.199999999999969
0,20,5.467177959448577,3.3333333333332993
0,21,5.303051156957418,1.9999999999999667
0,22,5.140921696854548,2.4666666666666317
0,23,4.923925939571314,2.9666666666666295
0,24,4.5905606932517005,3.433333333333295
0,25,4.268084335820959,3.8999999999999604
0,26,3.934657286192805,4.399999999999959
0,27,3.6347364843176364,4.866666666666624
1,0,6,0.0
1,1,5.1,2.0
1,2,5.1,2.0
1,3,5.1,2.0
1,4,5.1,2.1474264306047735
1,5,5.1,3.0386461186382108
1,6,5.1,4.128441267222841
1,7,5.1,5.1549176151674025
1,8,5.1,6.1086597463103125
1,9,5.1,7.1358183237943145
1,10,5.1,8.162981514393204
1,11,5.241010810376656,8.687619144998456
1,12,5.381675156845768,8.791897845945623
1,13,5.532386956634082,8.874537820608259
1,14,5.67305130310317,8.949656069073075
1,15,5.813715649572282,9.02463769463334
1,16,5.964427449360596,9.104963697876897
1,17,5.874858503815858,9.562819032358446
1,18,5.591084792233687,10.922785300787563
1,19,5.326229328090335,12.279030922191376
1,20,5.061373863947006,13.64117921834012
1,21,4.777600152364857,15.101118625980607
1,22,4.512744688221505,16.463762972773036
1,23,4.524278707795611,16.805505565729494
1,24,5.244552467256085,8.836845680391345
1,25,5.964826226716559,-0.7563843915472055
1,26,6.736548111852812,-11.171028332928667
1,27,7.456821871313286,-20.900784492040138
2,0,6,0.0
2,1,5.1,2.0
2,2,5.1,2.0
2,3,5.1,2.0
2,4,5.1,2.004914214353492
2,5,5.1,2.0346215372879404
2,6,5.1,2.0709480422407616
2,7,5.1,2.1051639205055803
2,8,5.1,2.13695532487701
2,9,5.1,2.1711939441264767
2,10,5.1,2.2054327171464396
2,11,5.1047003603458965,4.040402109199493
2,12,5.109389171894873,6.956434876003204
2,13,5.114412898554474,10.17158321011214
2,14,5.119101710103427,13.17867221178886
2,15,5.1237905216524045,16.18618783123817
2,16,5.1288142483120165,19.40856175710196
2,17,5.391394183586226,19.797756970367224
2,18,5.822854989464827,14.269321331285532
2,19,6.225551741618188,8.51488401095537
2,20,6.628248493771548,2.720081311835147
2,21,7.059709299650137,-3.4920195819794397
2,22,7.462406051803498,-9.290214518178068
2,23,7.3137412188957684,-13.367564951260276
2,24,5.876832705754919,-1.349760029794276
2,25,4.429035303725186,13.769793696968737
2,26,2.865740468217086,30.229326426476383
2,27,1.395387510631781,45.60954579346428
3,0,6,0.0
3,1,5.170666666666671,2.0
3,2,5.1,2.0
3,3,5.1,2.0
3,4,5.1,2.000163807145116
3,5,5.1,2.0011540512429304
3,6,5.1,2.002364934741358
3,7,5.1,2.0035054640168517
3,8,5.1,2.0045651774959
3,9,5.1,2.005706464804216
3,10,5.1,2.0068477572382157
3,11,5.100156678678195,2.128596119341079
3,12,5.100312972396489,2.322882438571385
3,13,5.100480429951813,2.537133838651244
3,14,5.100636723670107,2.737522974042508
3,15,5.100793017388412,2.9379407024218396
3,16,5.100960474943736,3.152676379698044
3,17,5.118565325012616,5.792238470476242
3,18,5.147644682861835,14.15883435575186
3,19,5.174785416854445,22.52152610933244
3,20,5.201926150847044,30.92182042025093
3,21,5.231005508696273,39.925287870011125
3,22,5.258146242688883,48.32874223524021
3,23,5.6646493800716256,53.07840433709552
3,24,6.714649380071625,25.983203803545116
3,25,7.764649380071626,-7.292276051232342
3,26,8.889649380071626,-43.46265133054398
3,27,9.939649380071625,-77.25751124062609
4,0,6,0.0
4,1,5.1,2.0
4,2,5.1,2.0
4,3,5.1,2.0
4,4,5.1,2.0000054602381705
4,5,5.1,2.000038468374764
4,6,5.1,2.000078831158045
4,7,5.1,2.000116848800561
4,8,5.1,2.000152172583197
4,9,5.1,2.0001902154934745
4,10,5.1,2.0002282585746074
4,11,5.1000052226226105,2.006305961168072
4,12,5.1000104324132165,2.016018346042533
4,13,5.1000160143317315,2.026729385676625
4,14,5.100021224122338,2.0367474513675123
4,15,5.100026433912944,2.0467669492378584
4,16,5.100032015831459,2.0575022455830903
