car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,1,5.675,2.466666666666665
0,2,5.35,2.899999999999997
0,3,5.222222222222217,3.399999999999995
0,4,5.305833333333339,3.86666666666666
0,5,5.400333333333333,4.333333333333325
0,6,5.505722222222221,4.79999999999999
0,7,5.6220000000000026,5.266666666666655
0,8,5.749166666666679,5.73333333333332
0,9,5.8738888888888825,6.199999999999985
0,10,5.976166666666654,6.66666666666665
0,11,6.089333333333343,7.133333333333315
0,12,6.213388888888881,7.59999999999998
0,13,6.327845376291225,8.033333333333312
0,14,6.209015156778878,8.53333333333331
0,15,6.109382827678064,8.999999999999975
0,16,6.014717097997709,9.499999999999973
0,17,5.9376401851253835,9.966666666666638
0,18,5.666784876514361,8.099999999999978
0,19,5.6167848765143615,6.233333333333306
0,20,5.941784876514362,4.499999999999967
0,21,6.291784876514361,2.6333333333333
0,22,6.641784876514362,2.2666666666666324
0,23,7.016784876514362,2.7666666666666306
0,24,7.3667848765143615,3.233333333333296
0,25,7.7417848765143615,3.7333333333332943
0,26,8.091784876514362,4.199999999999959
0,27,8.166784876514361,4.633333333333291
0,28,7.816784876514362,5.099999999999955
0,29,7.466784876514362,5.566666666666621
0,30,7.1167848765143615,6.033333333333286
0,31,6.766784876514362,6.499999999999951
0,32,6.391784876514362,6.999999999999949
0,33,6.041784876514361,7.466666666666615
0,34,5.666784876514361,7.9666666666666135
0,35,5.316784876514362,8.433333333333279
0,36,5.266784876514362,8.899999999999944
0,37,5.6167848765143615,9.366666666666609
0,38,5.966784876514362,9.833333333333274
0,39,6.341784876514362,8.499999999999945
0,40,6.691784876514362,6.633333333333276
0,41,7.066784876514362,4.633333333333269
1,0,6,0
1,1,5.675,2
1,2,5.35,2
1,3,5.040000000000009,2
1,4,5.040000000000009,2
1,5,5.040000000000009,2
1,6,5.040000000000009,2
1,7,5.040000000000009,2
1,8,5.040000000000009,2
1,9,5.043333333333339,3.2920875509640277
1,10,5.043333333333339,14.074127598503631
1,11,5.043333333333339,26.733308911149898
1,12,5.043333333333339,39.538694310499295
1,13,5.043333333333339,50
1,14,5.043333333333339,50
